2004–	2004-
bálkašupmi	bálkkašupmi
bálkka	bálkká
bálkkášat	bálkkašat
bálkkášumi	bálkkašumi
bálkkášupmi	bálkkašupmi
bálkáraidalas	bálkáráidalas
bálkášumi	bálkkašumi
bálkášupmi	bálkkašupmi
bálus	balus
bálvaide	bálvváide
bálvaleddji	bálvaleaddji
bálvaluat	bálvalusat
bárdnilaš	bárdnelaš
bárdnášis	bárdnásis
bárgiidbellodat	bargiidbellodat
bárgiiguin	bargiiguin
bárgoárjjaide	bargoárjjaide
bárrástávval	bárrastávval
bárta	barta
bártidideamis	bártideamis
bártnime	bárdnáme
bártta	bartta
bárttaid	barttaid
bárttnit	bártnit
bátnedoavtir	bátnedoavttir
bátnegáskkii	bátnegáskki
bátnázis	bártnážis
bávalusaid	bálvalusaid
cabares	cabaréas
cabmet	cábmet
cada	čađa
cakcat	čakčat
campinbiillat	campingbiillat
cand.scient	cand.scient.
caská	časká
cavga	čavga
cavgileamiid	cavgilemiid
ceahkkuhit	ceakkuhit
cealka	cealkka
cealkamuš	cealkámuš
cealkamuša	cealkámuša
cealkkekeahteš	cealkkekeahtes
cealkká	cealká
cearddalaccat	čearddalaččat
ceavcilis	ceavzilis
ceavrá	čeavrá
ceavvedalvvi	ceavvedálvvi
ceggedje	ceggejedje
cehkkiid	cehkiid
celkii	celkkii
celkkojuvvo	celkojuvvo
celkojuvvoi	celkojuvvui
celkosiida	celkosiidda
celká	cealká
centi	sentte
cicážiid	cizážiid
cieggadiŧ	cieggadit
ciekŋalat	čiekŋalat
cielga	čielga
cielggadit	čielggadit
cilget	čilget
circumpolara	cirkumpolára
cirkumpolara	cirkumpolára
ciŋaid	čiŋaid
coaganaŧ	coaganat
coakkánáigi	čoakkánáigi
cohkodaŧ	cohkodat
cujuha	čujuha
cujuheami	čujuheami
cujuhit	čujuhit
cuksasiidda	cukcasiidda
cuoggá	čuoggá
cuoggás	čuoggás
cuohcá	čuohcá
cuoiggodit	cuiggodit
cuojahit	čuojahit
cuonju	cuoŋu
cuonjuda	cuoŋuda
cuovkkasin	cuovkkas
cuovvovacca	čuovvovačča
cuovvovaš	čuovvovaš
cup:a	cupa
cup:s	cupas
cupai	cupii
cáhcecoahkuŧ	čáhcečoahkut
cáhcejodu	čáhcejođu
cáhci	čáhci
cájehan	čájehan
cájehit	čájehit
cálalaccat	čálalaččat
cállon	čállon
cávgileame	cavgileame
cázádatvuoigatvuodaid	čázádatvuoigatvuođaid
cázádatvuoigatvuodain	čázádatvuoigatvuođain
dab	dat
dadistaga	dađistaga
dadja	dadjá
dadja:	dadjá:
dadján	dadjan
dadját	dadjat
dafus	dáfus
dagatit	dagahit
daggár	dakkár
dagáhii	dagahii
dahka	dahká
dahkadusas	dáhkádusas
dahkidit	dáhkidit
dahkiduvvon	dáhkiduvvon
dahkkan	dahkan
dahkkat	dahkat
dahkkojovvošii	dahkkojuvvošii
dahkkojuvvun	dahkkojuvvon
dahkkun	dahkkon
dahkká	dahká
dahkogiettis	dahkugiettis
dahkán	dahkan
dahpagat	dáhpagat
dahpi	dáhpi
dahtto	dáhtto
dahttot	dáhttot
dahttu	dáhttu
daidde	dáidde
daidá	dáidá
daihe	dahje
dainná	dáinna
dajaahussii	dajahussii
dajdá	dadjá
dakkr	dakkár
dala	dalá
dallet	dalle
dallán	dalán
dalveborranbohccuin	dálveborranbohccuin
dalvesujiid	dálvesujiid
dalvvi	dálvvi
dappe	dáppe
darbbaš	dárbbaš
darbbašit	dárbbašit
darbbuid	dárbbuid
darbu	dárbu
darvana	darvána
darvanan	darvánan
darvanedje	darvánedje
darvanii	darvánii
darvanit	darvánit
darváneaddjil	darváneaddji
darváná	darvána
dassa	dassá
dassago	dasságo
dassai	dassái
dassažii	dassážii
dassožii	dassážii
dast	das
dastanaga	dasttánaga
dastto	dasto
dasá	dasa
databasa	databása
datl	dat
datnjasiid	dakŋasiid
davabealde	davábealde
davas	davás
davja	dávjá
davvás	davás
davve	davvi
davveleabbui	davvelebbui
davveoarje	davveoarji
davvi-tromssalaččain	davviromsalaččain
davviameriikká	Davvi-Amerihká
davvilas	davvilaš
davvimus	davimus
davvinuorttádahkan	davvinuorttadahkan
davábeal	davábealde
dađisdaga	dađistaga
daža	dáža
deaddan	deattán
deaddiluvvoi	deaddiluvvui
deahalaš	deaŧalaš
deahkkegeasahagat	deahkkegeasáhagat
deahttuhii	deattuhii
deahttuhuvvojit	deattuhuvvojit
deahálaš	dehálaš
deaivai	deaivvai
deaivasa	deaivása
deaivvad	deaivva
deaivvadeamiiguin	deaivvademiiguin
deaivvadi	deaivvadii
deaivvida	deaivida
deaivvidit	deaividit
dearvvasvuoda	dearvvašvuođa
dearvvasvuoda-	dearvvasvuođa-
dearvvasvuodadutkama	dearvvašvuođadutkama
dearvvašnuvvvat	dearvvašnuvvat
dearvvašvuođadirektorahta	dearvvašvuođadirektoráhta
deattuhuvo	deattuhuvvo
deattuhuvui	deattuhuvvui
deavda	deavdá
deađalaš	dieđalaš
deaŧalas	deaŧalaš
deaŧáleamoš	deaŧaleamos
dehálaccat	dehálaččat
dehálas	dehálaš
deháleammos	deháleamos
deháleamoš	deháleamos
dekar	dekára
dekara	dekára
delegata	delegáhta
demokrahtalaš	demokráhtalaš
demokratiijja	demokratiija
departementa	departemeanta
departementai	departementii
depertementta	departemeantta
deperttemeantta	departemeantta
detaljjaid	detáljjaid
deŧalaš	deaŧalaš
deŧaleabbo	deháleabbo
deŧaleabbon	deháleabbon
diagnusaide	diagnosaide
diagnusii	diagnosii
dialiisaide	dialiissaide
didjide	didjiide
died	dieid
diede	dieđe
diediha	dieđiha
diedihangeatnegasaŧ	dieđihangeatnegasat
dieduid	dieđuid
diedusge	dieđusge
diedut	dieđut
diedán	dieđán
dieh-tit	diehtit
dieht	diehtu
diehta	diehtá
diehtagiiddda	diehtagiidda
diehtan	diehtán
diehtelasaid	diehttelasaid
diehtelasat	diehttelasat
diehtetmeahttumat	diehtemeahttumat
diehtetmeahttunvuohta	diehtemeahttunvuohta
diehtetmeahttunvuođa	diehtemeahttunvuođa
diehtetmeahttuvuođa	diehtemeahttunvuođa
diehti	diehtit
diehto	diehtu
diehtocáluš	diehtočálus
diehttelaš	diehttelas
diehttemassii	diehttevassii
diehttávassii	diehttavassii
diekkar	diekkár
diekákr	diekkár
dienna	dieinna
dieut	dieđut
dievasčpahkkimis	dievasčoahkkimis
dievasđoahkkimiin	dievasčoahkkimiin
dievaščoahkkin	dievasčoahkkin
dievdo	dievdu
dievdolbmo	dievdoolbmo
dievdolbmos	dievdoolbmos
dievdolbmot	dievdoolbmot
dievdolbmuid	dievdoolbmuid
dievdolbmuide	dievdoolbmuide
dievdolbmuin	dievdoolbmuin
dievdolmmoš	dievdoolmmoš
dievdoolbmid	dievdoolbmuid
dievusge	dieđusge
dievái	dievai
dieđahus	dieđáhus
dieđat	dieđát
dieđeš	diđeš
dieđia	dieđiha
dieđiheapmai	dieđiheapmái
dieđihuvui	dieđihuvvui
dieđihuvvvui	dieđihuvvui
dieđos	dieđus
dieđosge	dieđusge
dieđáhusssii	dieđáhussii
dieđálaš	dieđalaš
dieđálašvuođa	dieđalašvuođa
diešusge	dieđusge
diftonga	diftoŋga
diggaid	diŋggaid
diggut	diggot
digitala	digitála
digástallat	digaštallat
digástallá	digaštallá
dihtomielalaččaŧ	dihtomielalaččat
dihtosupmái	dihttosupmái
dihtte	dihte
diibma	diibmá
diibmabeali	diibmobeali
diibmáš	diimmáš
diidjiide	didjiide
diihte	dihte
diihten	dihten
diihtet	dihtet
diimma	diimmá
diimmás	diimmáš
diine	dine
diinejit	dinejit
diinen	dinen
diinet	dinet
diinešeaigga	dinešeigga
dikkiš	dikkis
diktatora	diktáhtora
dikšunrusttegiida	dikšunrusttegiidda
dilalašvuohta	dilálašvuohta
dilalašvuođa	dilálašvuođa
dilalašvuođaid	dilálašvuođaid
dilalášvuođaide	dilálašvuođaide
dilidet	diliidet
dilálašvuodaid	dilálašvuođaid
dilálášvuođaid	dilálašvuođaid
dilálášvuođain	dilálašvuođain
dilálášvuođas	dilálašvuođas
dimmá	diimmá
dingga	diŋgga
dinggaid	diŋggaid
dinosaurat	dinosávrrat
direkteuvra	direktevra
direktevre	direktevra
direktevrre	direktevrra
direktuvra	direktevra
diskutehkas	diskotehkas
dist.	dis
ditnjan	dikŋan
divddán	divttán
divisuvdnii	divišuvdnii
divisuvnnas	divišuvnnas
divrriguin	divrriiguin
divudusa	divodusa
divudusaid	divodusaid
divudusain	divodusain
divudusat	divodusat
divudussii	divodussii
divuduvvojedje	divoduvvojedje
divuduvvon	divoduvvon
divutit	divuhit
divšuvdna	divišuvdna
divššohát	divššohat
diŋgojuvui	diŋgojuvvui
diŋgut	diŋgot
diškuhit	diškkuhit
doabmavugiin	doaibmavugiin
doahttalkeahtesvuođaŧ	doahttalkeahtesvuođat
doaibmabiddjo-eavttuhussii	doaibmabidjoevttohussii
doaibmabiddjoguovllu	doaibmabidjoguovllu
doaibmabidjuevttohusaid	doaibmabidjoevttohusaid
doaibmabidjuin	doaibmabijuin
doaibmabijjuin	doaibmabijuin
doaibmabohtusat	doaibmabohtosat
doaibmabohtusiid	doaibmabohtosiid
doaibmaekonomalaččaŧ	doaibmaekonomalaččat
doaibmaguovlustis	doaibmaguovllustis
doaibmapláná	doaibmaplána
doaibmasisabohtosiin	doaibmasisaboađuin
doaibmaprofilaid	doaibmaprofiillaid
doaimmadeaset	doaimmaideaset
doaimmaiseaset	doaimmaideaset
doaimmahusalaš	doaimmahuslaš
doaimmashehttejunpenšunisttat	doaimmashehttejuvvonpenšunisttat
doaimmeheaddji	doaimmaheaddji
doaimmeheddjin	doaimmaheddjiin
doaivo	doivo
doaivvoheamit	doaivvuheamit
doaivvon	doaivvun
doaivvušii	doivvošii
doaktaris	doaktáris
doakára	doaktára
doalahiŧ	doalahit
doalla	doallá
doalloovttodaga	doalloovttadaga
doalvvuid	doalvvui
doaláha	doalaha
doamat-doama	doama-doama
doangasat	doaŋgasat
doanggas	doaŋggas
doarjan	doarjjan
doarjaohcama	doarjjaohcama
doarjjošii	dorjjošii
doarján	doarjjan
doarvai	doarvái
doarvet	doarvái
doarvvái	doarvái
doavttaid	dovttaid
doavtter	doavttir
doavttergrada	doavttergráda
doavttergrádastipeandiáhtta	doavttergrádastipendiáhtta
doaškkaid	doaškkáid
dohkalaččaide	dohkálaččaide
dohkalaččat	dohkálaččat
dohkalaš	dohkálaš
dohkalašvuođa	dohkálašvuođa
dohkalažžan	dohkálažžan
dohkalažžii	dohkálažžii
dohke	dohkke
dohkehan	dohkkehan
dohkeheamis	dohkkeheamis
dohkeheapmi	dohkkeheapmi
dohkeheapmin	dohkkeheapmin
dohkehit	dohkkehit
dohkehuvvon	dohkkehuvvon
dohkeo	dohko
dohket	dohkket
dohkka	dohkká
dohkkalaččat	dohkálaččat
dohkkalaš	dohkálaš
dohkkehuvo	dohkkehuvvo
dohkkehuvvonš	dohkkehuvvon
dohkkenit	dohkkehit
dohkkálačča	dohkálačča
dohkkálaččat	dohkálaččat
dohkkálaš	dohkálaš
dohkkáš	dohkáš
dohkálaccat	dohkálaččat
dohpagiidda	doahpagiidda
dohpii	dohppii
doibmabadji	doaibmabadji
doimmaheaddji	doaimmaheaddji
doimmiide	doibmiide
dolastalladettiin	dolastaladettiin
dolaštisgohtet	dolastišgohtet
dollaspáiddara	dollaspáidara
dollačaskadeaddjit	dollačáskadeaddjit
dollojuvvoi	dollojuvvui
dorrvoheapme	dorvvuheapme
dorui	dorvui
dorvasin	dorvvastin
dorvo	dorvu
dorvvástit	dorvvastit
dorvásit	dorvvastit
dosamtriijaide	dosametriijaide
doudji	duodji
dovdaŧ	dovdat
dovddidit	dovddiidit
dovddidusaid	dovddiidusaid
dovddit	dovddat
dovddosin	dovddusin
dovdduseamos	dovdoseamos
dovdduš	dovddus
dovvdat	dovdat
dppe	dáppe
drbbuid	dárbbuid
driftsenhetain	doaluin
drkun	dárkun
drámahtalaččat	dramáhtalaččat
drámahtalaš	dramáhtalaš
drámatihkka	dramatihkka
drámáhtalaš	dramáhtalaš
dudjon	duddjon
dudnje	dutnje
duhat	duhát
duhkkáid	duhkáid
duhkorasvovda	duhkorasvovdna
duhpaha	duhpáha
duhpatvahátráđđi	duhpátvahátráđđi
duhtameahttunis	duhtameahttumis
duhttadit	duhtadit
duhttameahttumis	duhtameahttumis
duhttavaččat	duhtavaččat
duhttavaš	duhtavaš
dukasiidda	duskasiidda
duktamiid	dutkamiid
duljjiin	duljiin
dulkojuvvut	dulkojuvvot
dulvegeahpedanrustteŧ	dulvegeahpidanrusttet
dunnje	dutnje
duodaid	duođaid
duodje	duodji
duodnjan	duogŋan
duodnjasat	duogŋasat
duogaš	duogáš
duogaža	duogáža
duogábeal	duogábeal
duohpaga	doahpaga
duohtandagakeahteš	duohtandagakeahtes
duohtandáhkat	duohtandahkat
duoiđi	duođi
duokkariin	duokkáriin
duoljji	duolji
duoljjit	duoljit
duolvačáhce	duolvačáhci
duopmogirjjid	duopmogirjjiid
duopmustuollu	duopmostuollu
duoppar	doappar
duoras-tagas	duorastagas
duorasdaga	duorastaga
duosta	duostta
duosttilis	duostilis
duosttá	duostá
duosttás	duosttáš
duotŋaimet	duokŋaimet
duođa-štallamiidda	duođaštallamiidda
duođabit	duođabut
duođastusastis	duođaštusastis
duođaštiŧ	duođaštit
duođaštuš	duođaštus
duođis	duođas
duođá-štallamiidda	duođaštallamiidda
duođálažžan	duođalažžan
duođáštit	duođaštit
duođáštusávdnasaŧ	duođaštusávdnasat
dupmehallon	dubmehallon
dupmejit	dubmejit
dupmejuvvon	dubmejuvvon
dupmen	dubmen
dupmet	dubmet
duppalmorala	duppalmorála
duppál	duppal
duppálastit	duppalastit
duppáliid	duppaliid
duppáloaiviliid	duppaloaiviliid
duppáloaivilvuohta	duppaloaivilvuohta
duskkái	duskái
dutakmiid	dutkamiid
duthavaš	duhtavaš
dutje	dutnje
dutkamistis	dutkamisttis
dutkamus	dutkamuš
dutkanprofilas	dutkanprofiillas
dutkanrievttiš	dutkanrievttis
dutkansurggide	dutkansurggiide
dutkkit	dutkit
dutkkojuvvon	dutkojuvvon
dutkosistis	dutkosisttis
duvdian	duvdilan
duš	dus
duššid	duššiid
dábalaččat	dábálaččat
dábalaš	dábálaš
dábaláččat	dábálaččat
dábálaccat	dábálaččat
dábálas	dábálaš
dábáleammosit	dábálepmosit
dádjulas	dádjolas
dádjá	dadjá
dáguid	dáiguid
dáhje	dahje
dáhkadusa	dáhkádusa
dáhkadusaid	dáhkádusaid
dáhkadusásahus	dáhkádusásahus
dáhkadusásahusat	dáhkádusásahusat
dáhkkat	dáhkat
dáhkkida	dáhkida
dáhkkádus	dáhkádus
dáhpahusa	dáhpáhusa
dáhpahuvvan	dáhpáhuvvan
dáhpahuvvš	dáhpáhuvvá
dáhpahuvva	dáhpáhuvvá
dáhppáhus	dáhpáhus
dáhpáhuvva	dáhpáhuvvá
dáhpáhuvvai	dáhpáhuvai
dáhpáhuvái	dáhpáhuvai
dáhpátuvvat	dáhpáhuvvat
dáhpšhuvvat	dáhpáhuvvat
dáhtolassii	dáhttolassii
dáhtušii	dáhtošii
dáhálaš	dehálaš
dáida	dáidda
dáidalaččat	dáiddalaččat
dáidarat	dáidárat
dáidariid	dáiddáriid
dáidariin	dáidáriin
dáiddagiin	dáidagiin
dáiddahistoriijja	dáiddahistorjá
dáiddaideaset	dáidduideaset
dáiddajuoji	dáiddaduoji
dáiddar	dáiddár
dáiddara	dáiddára
dáiddarat	dáiddárat
dáiddariid	dáiddáriid
dáiddarskuvllaid	dáiddárskuvllaid
dáiddavuose-husa	dáiddavuosehusa
dáiddavuose-hussii	dáiddavuosehussii
dáiddačehppiid	dáiddačehpiid
dáiddá	dáidá
dáiddárá	dáiddára
dáidguin	dáiguin
dáidibehket	dáidibehtet
dáinná	dáinna
dákkaraš	dakkáraš
dákkráriin	dákkáriin
dákstta	dávstta
dáktegávdnosaŧ	dáktegávdnosat
dálkkasččaide	dálkkaslaččaide
dálkkudanvuogit	dálkkodanvuogit
dálkkudit	dálkkodit
dállastiŧ	dállastit
dállobiireseŧ	dállobiireset
dálloluottaŧ	dálloluottat
dálločomaŧ	dálločomat
dáloniiddda	dáloniidda
dálvai	dálvái
dálve	dálvi
dálveguohtonÂ­eatnamiid	dálveguohtoneatnamiid
dálveÂ­guohtonÂ­eatnamiid	dálveguohtoneatnamiid
dálán	dalán
dárbbas	dárbbaš
dárbbaslaš	dárbbašlaš
dárbbašivččil	dárbbašivččii
dárbbašlaccat	dárbbašlaččat
dárbbašlas	dárbbašlaš
dárbbáš	dárbbaš
dárbbášii	dárbbašii
dárbbášit	dárbbašit
dárkkisduvvon	dárkkistuvvon
dárkkistiŧ	dárkkistit
dárkkujeaddjin	dárkkuheaddjin
dármumiidda	dárkumiidda
dárranit	dárránit
dáruiduhttemis	dáruiduhttimis
dáruiduhttenpolitihkas	dáruiduhttinpolitihkas
dáruiduhttenpolitihkka	dáruiduhttinpolitihkka
dáruiduhttenáigge	dáruiduhttináigge
dárumállet	dáromállet
dárumánáide	dárománáide
dárumánát	dárománát
dárvana	darvána
dárvanan	darvánan
dássai	dássái
dássalas	dássálas
dássasaš	dássásaš
dássažii	dassážii
dássediŧ	dássedit
dássehivuođa	dássehisvuođa
dásseárvo	dásseárvu
dássiid	dásiid
dássožii	dássážii
dássálagai	dássálagaid
dásto	dasto
dásá	dása
dátabáŋkku	databáŋkku
dátabáŋku	databáŋku
dáthtolaš	dáhtolaš
dávggaid	dávggáid
dávja	dávjá
dávvisámegillii	davvisámegillii
dávvirvuorkáid	dávvirvuorkkáid
dávvirvuorkáide	dávvirvuorkkáide
dáčč	dáčča
dáččaŧ	dáččat
dáččeavttuid	dáččaeavttuid
dáččá	dáčča
dáđistaga	dađistaga
dážža	dáčča
dåsis	dásis
død	Død
e.e	ee.
eadne	eadni
eahesihkarat	eahpesihkkarat
eahpedahtti	eahpidahtti
eahpeozolaccat	eahpeozolaččat
eahpesihkarat	eahpesihkkarat
eahpesihkarvuohtii	eahpesihkarvuhtii
eahpesihkkár	eahpesihkkar
eahpesihkkáris	eahpesihkkaris
eahpesihkár	eahpesihkar
eahpikeahttá	eahpitkeahttá
eahppedahtti	eahpidahtti
eahppesihkkar	eahpesihkkar
eahppidahtti	eahpidahtti
eahppitkeahttá	eahpitkeahttá
eaiggadaga	eaiggáda
eaiggadiidda	eaiggádiidda
eaiggadit	eaiggádit
eaiggaduvvo	eaiggáduvvo
eaiggádušša	eaiggáduššá
eaiggáduššamiš	eaiggáduššamis
eaiggáduššanháldduŧ	eaiggáduššanhálddut
eaiggáduššanvuoigatvuoda	eaiggáduššanvuoigatvuođa
eaiggáduššanvuoigatvuodas	eaiggáduššanvuoigatvuođas
eaiggáduššanvuoigatvuođ	eaiggáduššanvuoigatvuođa
eaiggáduššanvuoigavuohta	eaiggáduššanvuoigatvuohta
eaiggátmearkkaŧ	eaiggátmearkkat
eaiggátvuođahálddašeapmai	eaiggátvuođahálddašeapmái
eaigáda	eaiggáda
eaimmaide	eimmiide
eakspearttat	ekspearttat
eaktodahtolaš	eaktodáhtolaš
eaktodahttolaččat	eaktodáhtolaččat
eaktodáhtolaccat	eaktodáhtolaččat
ealahusa	ealáhusa
ealahusvugiidis	ealáhusvugiidis
ealalii	ealálii
ealat	ealáhat
ealgabivdiguin	ealgabivdiiguin
ealgaválliid	ealgavállaid
ealgá	ealga
eallemin	eallimin
ealluin	ealuin
ealáhusovddineapmi	ealáhusovddideapmi
ealáhusovddáneamis	ealáhusovdáneamis
ealáhusovddánemiide	ealáhusovdánemiide
ealáhusovdáneamiin	ealáhusovdánemiin
ealáhusovdáneapmai	ealáhusovdáneapmái
ealáhusovvdidanbarggus	ealáhusovddidanbarggus
ealáhussoahpámuša	ealáhussoahpamuša
ealáhusvisttid	ealáhusvisttiid
ealákahttet	ealáskahttit
ealáskahttemii	ealáskahttimii
ealásusovddideami	ealáhusovddideami
eambbohat	eambbogat
eambbosii	eambbosiid
eambogiid	eambbogiid
eambosiid	eambbosiid
eamiálbmogjid	eamiálbmogiid
eamiálbmotáirrasat	eamiálbmotáirasat
eanadatlágaŧ	eanadatlágat
eanadatsuodjalanguovlluŧ	eanadatsuodjalanguovllut
eanadivatsisaboađuŧ	eanadivatsisaboađut
eanadoallo	eanadoallu
eanadoalloministtarii	eanadoalloministarii
eanadoallošiehtádusain	eanadoallošiehtadusain
eanadoallui	eanadollui
eanaeaiggáduššanvuoigatvuodat	eanaeaiggáduššanvuoigatvuođat
eanagáhppalaga	eanagáhppálaga
eanagáhppalagat	eanagáhppálagat
eanamus	eanemus
eanandoallo	eanandoallu
eanandoalloministtariin	eanandoalloministariin
eananhálddašeápmái	eananhálddašeapmái
eanasa	eatnasa
eanavearuhuš	eanavearuhus
eanavuoigatvuodaid	eanavuoigatvuođaid
eandaliid	eandalii
eanelohku	eanetlohku
eanetbealaŧ	eanetbealát
eanetbut	eanebut
eanetloguálbmo-giid	eanetloguálbmogiid
eangalas	eaŋgalas
eara	eará
earago	earágo
earaid	earáid
earaide	earáide
earain	earáin
earan	earán
earat	earát
earemoamážit	earenoamážit
earenoamažit	earenoamážit
earenomažit	earenomážit
earranassii	earránassii
earrá	eará
earrálágan	earálágan
earáhuhttimiida	earáhuhttimiidda
earáidda	earáide
earálagan	earálágan
earáliigasii	earáliiggážii
earáliigasiidda	earáliiggážiidda
earáliiggas	earáliiggáš
earáliiggás	earáliiggáš
earánoamážit	earenoamážit
earánomáš	earenoamáš
earánomážit	earenomážit
easttagiid	eastagiid
eatnamiiidda	eatnamiidda
eatnamiim	eatnamiin
eatnamistis	eatnamisttis
eatnanvulošiid	eatnanvuložiid
eatnanvuodoža	eatnanvuloža
eatneriebu	eadneriebu
eatnigielasat	eatnigielaset
eatnám	eadnán
eatnánhearrá	eananhearrá
eatudan	eaktudan
eavttihasa	eavttohasa
eavttoheaddjiide	evttoheddjiide
eavttohusa	evttohusa
eavttuguin	eavttuiguin
eavttuŧ	eavttut
eaŋgelas	eŋgelas
effekta	effeakta
ehce	ehcce
eibmii	eaibmái
eiehtadusaid	šiehtadusaid
einnošii	einnostii
eisevaldiiguin	eiseválddiiguin
eiseváldiide	eiseválddiide
eiseváldiiguin	eiseválddiiguin
eiseváldiin	eiseválddiin
eisige	eisege
eisválddiid	eiseválddiid
eknomomálaš	ekonomalaš
ekonoamalaččat	ekonomalaččat
ekonoamalaš	ekonomalaš
ekonoamálaččat	ekonomalaččat
ekonoamálaš	ekonomalaš
ekonomia	ekonomiija
ekonomiijja	ekonomiija
ekonomiijjas	ekonomiijas
ekonomlaččat	ekonomalaččat
ekonomlaš	ekonomalaš
eksohtálaš	eksohtalaš
el-fábmolinjá	el-fápmolinjá
el-rávdnje	el-rávdnji
el-rávnjji	el-rávnnji
elektronikalaš	elektronihkalaš
elektrovnnlaš	elektrovnnalaš
elementtaid	elemeanttaid
elementtat	elemeanttat
elet	eret
eliid	elliid
emošuvnála	emošunála
empiiralaš	empiralaš
energia	energiija
energias	energiijas
engel	eŋgel
engelasgielas	eŋgelasgielas
engelat	eŋgelat
engelat;	eŋgelat;
engeliiguin	eŋgeliiguin
entreprenøraide	entreprenevrraide
entreprenørat	entreprenevrrat
entusiasta	entusiásta
ereanoamážit	erenoamážit
eremoamáš	erenoamáš
eren-oamáš	erenoamáš
eren-oamážit	erenoamážit
erenaomážit	erenoamážit
erenoamás	erenoamáš
erenoamáþit	erenoamážit
erenoamáčit	erenoamážit
erenoamš	erenoamáš
erenoamžit	erenomážit
erenoaámaš	erenoamáš
erenoemážit	erenoamážit
erenomoamážit	erenoamážit
erenoámaš	erenoamáš
erenoámažit	erenoamážit
ereoamašit	erenoamážit
ereonamážit	erenoamážit
ereonmáš	erenoamáš
ereŧ	eret
erit	eret
ernoamáš	erenoamáš
erohos	erohus
errnoamážit	erenoamážit
ert	eret
etnihkkalaš	etnihkalaš
etniinnis	etniinis
etnomusihkakguovddáža	etnomusihkkaguovddáža
etologalaš	etnologalaš
eurohpa	Eurohpá
eurohpameasttir	eurohpámeašttir
eurohpameaštirin	eurohpámeašttirin
eurohpá	Eurohpá
europeálaš	eurohpalaš
evangiljjoma	evangeliuma
evangiljjon	evangelium
evtohusain	evttohusain
evtohusat	evttohusat
evttohussa	evttohussan
evttohuvui	evttohuvvui
evttokas	evttohas
evttokassan	evttohassan
evttut	eavttut
eálán	ealán
eárá	eará
eŋgalsgiella	eŋgelasgiella
fabrihkkaráhkadun	fabrihkkaráhkaduvvon
fagasurggiid	fágasurggiid
fagábirrasii	fágabirrasii
fagáin	fágain
fahkkestaga	fáhkkestaga
faktor	fáktor
faktoriidda	fáktoriidda
faktoriin	fáktoriin
faleš	fales
fallat	fállat
fallskjearpma	seaivunliidni
fallá	fállá
faláldaga	fálaldaga
faláldat	fálaldat
famuin	fámuin
fanasgieddelaš	fanasgieddilaš
farisealaččát	farisealaččat
fartain	fárttain
faskkii	faskii
fast	fas
fasta	fásta
fastes	fasttes
fastit	fasttit
favllis	fávllis
feará	feara
fearámii	fearánii
fearámiidda	fearániidda
feaskaris	feaskáris
feastiválai	festiválii
feastonuohtiin	feastonuhtiin
feministalaš	feministtalaš
fertejuvvo	ferte
fertešivčče	fertešedje
fertešivččii	fertešii
fertijin	fertejin
festivala	festivála
festivalas	festiválas
festiválai	festiválii
fiberoptihkkalaš	fiberoptihkalaš
fidnat	fitnat
fidnodagaid	fitnodagaid
fidnodagain	fitnodagain
fidnodagat	fitnodagat
fiebmái	fierbmái
fierbmebivdovuoigatvuoda	fierbmebivdovuoigatvuođa
fierbmeráddjenguovlluŧ	fierbmeráddjenguovllut
fiervrridit	fievrridit
fiervrriduvvon	fievrriduvvon
fievrriduovvon	fievrriduvvon
fievrredanbargiŧ	fievrredanbargit
fiidna	fiidná
fiidnamus	fiidnámus
fiidnážiid	fiidnážit
fiinná	fiinna
filbmadahki	filbmadahkki
filbmafestiivala	filbmafestivála
filbmenaberáhta	filbmenapparáhta
fillešivčče	fillešedje
film-mastis	filmmastis
filmmai	filmmaid
filosifiaid	filosofiijaid
finansdepartemanta	finánsadepartemeanta
finansvuogádaga	finánsavuogádaga
finniis	fiinnis
finnmárkkolačča	finnmárkulačča
finnmárkku	Finnmárkku
finnmárkkuláčča	finnmárkulačča
finádan	finadan
finájoavkkuid	finálajoavkkuid
finálai	finálii
finánslavdegoddi	finánsalávdegoddi
finánslávdegoddi	finánsalávdegoddi
finánsvuogádaga	finánsavuogádaga
fiolehtta	fioleahtta
fioliinná	fioliinna
fitnejit	fidnejit
fitnemis	fidnemis
fitnii	fidnii
fitniiga	fidniiga
fitniime	fidniime
fitniimet	fidniimet
fitnje	fitne
fitnodatčiečamiid	fitnodatčiekčamiid
fjellfinnhua	Fjellfinnhua
foandii	fondii
formáilaide	formálaide
formálaččat	formálalaččat
forámálalaš	formálalaš
fossila	fossiila
frahkat	fráhkat
friddjaseabbo	friddjat
friddjavuođareivveŧ	friddjavuođareivvet
fridja	friddja
fridjasaji	friddjasaji
fridjavuohta	friddjavuohta
fridjavuođa	friddjavuođa
friiddja	friddja
friskka	friska
fulkkiguin	fulkkiiguin
fuobmaimet	fuobmáimet
fuobmajit	fuobmájit
fuobman	fuobmán
fuobmat	fuobmát
fuolalaccaŧ	fuolalaččat
fuolaštuvvan	fuolastuvvan
fuomaš	fuomáš
fuomašahttit	fuomášahttit
fuomašan	fuomášan
fuomašeddje	fuomášedje
fuomašeigga	fuomášeigga
fuomašin	fuomášin
fuomašit	fuomášit
fuomašuhttá	fuomášuhttá
fuomašumi	fuomášumi
fuomašuvvo	fuomášuvvo
