Sámegillii	På norsk
8. klassen var på vestsiden av Porsanger og i Vestgaissene ( distr. 16 ) , mens 9. klasse var på østsiden av Porsanger og i østgaissene ( distr. 14 og 13 ) .	8. luohkká lei oarjjabealde Porsáŋggu ja Oarjegáissáin ( orohagas 16 ) , ja 9. luohkká ges lei nuorttabealde Porsáŋggu ja Nuortagáissáin ( orohagain 14 ja 13 ) .
De første dagene var begge klasser i Karasjok .	Vuosttaš beivviid ledje goappašat luohkát Kárášjogas .
Sommeren 1962 hadde vi de samme kursopplegg med noen forbedringer , og vi mener nå å ha funnet fram til kursmåter som kan brukes i noen år framover .	1962 geasi doalaimet seamma kurssaid , muhto de leimmet veahá buoridan , ja oaivvildit dál ahte leat gávnnahan kursavugiid maid sáhttit doallat moadde jagi ovddosguvlui .
For at elevene skal få et bredere oversyn over reindriften og de ulike arbeidsformer er det nødvendig at de får følge med arbeidet i flere reinflokker og beiteområder .	Vai oahppit viidábut oidnet boazodoalu ja iešguđetlágan bargovugiid , de lea dárbbašlaš ahte besset čuovvut bargguid máŋgga ealus ja guohtoneatnamis .
Forutsetningen er at hvert kurs omfatter minst to reinflokker .	Lea eaktun ahte juohke kurssa olis fitnet unnimusat guovtti ealu luhtte .
De som har vært med på fjellkursene de to siste årene , har således fått praktisere i fem reinflokker på ulike beiteområder , og de har dessuten hatt ekskursjon til høst- og vinterbeiter .	Sii geat leat leamaš meahccekurssain dan guokte maŋemus jagi leat beassan hárjehallat bargat viđa ealu luhtte iešguđetge guohtoneatnamis .  Sis leat maid leamaš oahppomátkkit čakča- ja dálveorohagaide .
Hva vi ellers gjør på disse kursene har vært en kilde til forundring for mange .	Máŋggas leat imaštallan maid mii muđui dahkat dáin kurssain .
De som selv har deltatt i kursene , stiller seg meget velvillige i sine vurderinger .	Sii geat ieža leat oassálastán dáin kurssain leat iežaset árvvoštallamiin leamaš hui duhtavaččat .
Samarbeidet med flyttsamene har på et eneste unntak nær vært meget godt , og skolen får hvert år henvendelser fra andre flyttsamegrupper som gjerne vil ha kurset til sitt sommerbeite .	Ovttasbargu johttisápmelaččaiguin , earet ovttain , lea leamaš buorre , ja juohke jagi oažžu skuvla fálaldagaid eará siiddain geat háliidit kurssa sin geasseorohahkii .
Elev på reindriftslinjas fjellkurs lærer å binde rein .	
Ved Ytre Billefjord i Porsanger .	
( Foto : Virginia Davidson / Norsk folkemuseum )	
Endel emner for undervisning og arbeidsøving nevnes her : Orientering – med og uten kart og kompass .	Soames fáttát oahpahusas ja bargohárjehallamis namuhuvvojit dás : Meahccedádjadeapmi – sihke kárttain ja kompássain ja daid haga .
Førstehjelp ved ulykker i fjellet .	Heahteveahkki lihkohisvuođain meahcis .
Leirordning og leirhygiene .	Leairaortnet ja leairabuhtisvuohta .
Beitedistriktenes geografi og utnytting i reindriftens tjeneste .	Orohagaid guovlu ja dan guovllu ávkkástallan boazodollui .
Grenser , flytteveier , naturlige knutepunkter .	Rájit , johtingeainnut , lunddolaš deaivvadanbáikkit .
Reinens trekkvaner i forskjellige områder og metoder ved samling og driving .	Bohcco johttindábit iešguđetge guovllus , ja čohkken- ja vuojehandábit .
Reinsamling , gjeting og driving av rein til samleplass .	Čohkken , guođoheapmi ja vuojeheapmi dohko gosa čohkkejit ealu .
Gjenkjenning av rein , lassokasting og øremerking .	Bohcco dovdan dehe áican , njoarosteapmi ja merken .
Feltslakting , oppretting av feltslakteplass , avliving , slakting av kalver og hygienisk behandling av kjøttet .	Fealtanjuovvan , fealtanjuovvanbáikki ceggen , goddin , misiid njuovvan ja biergguid ráidnasit gieđahallan .
Partering av kalveskrotter , hygienisk og økonomisk .	Miessegorudiid rihtten ráidnasit ja ekonomalaččat .
Bruk av kastreringstang .	Gáldendoaŋggaid geavaheapmi .
Matstell i fjellet , brødbaking i sametelt , stell av kjøtt og fisk for salting og røyking .	Biebmoráhkadeapmi meahcis , láibun lávus , bierggu ja guoli sálten ja suovastuhttin .
	Meahci šattuid ávkkástallat .
Utnytting av fjellets nyttevekster .	Ee. lávu ja luovi ceggen ja sirdin .
Oppsetting og flytting av sametelt , forrådsstilaser etc. .	
Litt fiskeribiologi , bruk av forskjellige fiskeredskaper .	Veahá guolástanbiologiija , iešguđetlágán guolástanrusttegiid geavaheapmi .
Geologi – plantelære – plantesamfunn , synfaring av beiter og utregning av beiteverdi , synfaring av overbeitede steder .	Geologiija – šaddodieđa – šaddoservodat , guohtumiid geahčadeapmi ja guohtunárvvu rehkenastin , geahčadanmátki báikkiide maid leat badjelmeari guhton .
Samling og pressing av planter .	Šattuid čohkken ja vuožuheapmi .
Fjellvandringer i studieøyemed ( flere døgn , uten telt og sovepose ) , ordning av natteleie ute , løvhytter , vindskjermer o. l. .	Meahccevánddardeapmi oahppama várás ( máŋga jándora , lávu ja gávnniid haga ) , láhččit olggos idjadansaji , ráhkadit lastagoađi , cegget bieggasuoji jna. .
Ekskursjon til viktige knutepunkter for reinflyttinga , steder av kulturhistorisk betydning ( gamle melkegjerder , fangstgraver etc. ) .	Oahppomátki dehálaš čohkkenbáikkiide johttingeainnus , báikkiide main lea kulturhistorjjálaš mearkkašupmi ( dološ bohččingárddiide , bivdorokkiide jna. )
Under fjellkurset for 9. klasse søker en å bygge videre på forrige års kurs .	9. luohká meahccekurssa geahččalit hukset ovddit jagi kurssa nala .
Om en av praktiske grunner ikke kan rekke over et undervisningsemne på 8. klasses kurs , passer en på å få det med neste år .	Jus 8. luohká kurssas ii leat praktihkalaš sivaid geažil ollen ovtta fáttá oahpahit , de váruha ahte dat fáddá šaddá nuppi jagi mielde .
Et utkast til arbeidsplan for fjellkursene ble våren 1959 sendt forskjellige instanser innen reindriftsadministrasjonen og flyttsamenes organisasjon til uttalelse .	Meahccekurssa bargoplánaevttohus sáddejuvvui 1958 giđa gulaskuddamii iešguđetlágán ásahusaide boazodoallohálddahusas ja johttisápmelaččaid organisašuvnnas .
Selvfølgelig ble utkastet også drøftet med flyttsamer .	Diehttelas ahte dán evttohusa ságastalle maid johttisápmelaččaiguin .
Samtlige stilte seg positivt .	Buohkat ledje mielas dása .
Forsøksrådet for skoleverket godkjente det praktiske opplegget for kurset i brev av 18/8 1959 og uttalte da bl. a. : « Selve innholdet i kurset virker gjennomtenkt og underbygd og ser ut til å konsentrere seg om vesentlige emner som vil få stor betydning for elevene i deres yrkesarbeid .	Skuvladoaimmahaga geahččalanráđđi ( Forsøksrådet for skoleverket ) dohkkehii reivvestis beaiváduvvon 18/8 1959 praktihkalaš oasi dán evttohusas , ja čállá ee. ná : « Dán kurssa sisdoallu orru dárkilit jurddašuvvon ja ákkastuvvon ja orro čiekŋudeame dehálaš osiide mat mearkkašit ollu ohppiid barggus .
	Go lea johttisámemáhttu duogážin , de gal sáhttá ollu vuordit dákkár kurssas . »
Med flyttsame-kunnskapen som bakgrunn er det grunn til å vente seg mye av dette kursopplegget . »	Boazodoallosuorggi meahccekurssa oahppi oahppá gárrat bohccuid . Gorbovuona lahka , Porsáŋggus , 1959 .
	( Govva : Virginia Davidson / Norsk folkemuseum )
Med denne tillitserklæring i ryggen har vi så fra år til år søkt å forbedre kursoppleggene til vi foran 1963-kursene står med planer som vi anser tilfredsstillende , men ikke endelige .	Dáinna luohttámušduođaštusain leat mii de jagis jahkái geahččalan buoridit kurssaid nu ahte ovdalgo1963-kurssaid álggahit , de lea mis dohkálaš plána , vaikko dat ii leat loahpalaš .
I konklusjonen til rapporten fra det første fjellkurset i 1959 skrev undertegnede bl. a. : « I faget flyttsamekunnskap og i særlig grad i fjellkurset beveger vi oss på områder hvor vi skolemessig sett har få eller ingen erfaringer å bygge på .	Loahppacealkagis raporttas maid vuosttaš meahccekurssa maŋŋel čálii 1959:s lea vuolláičálli čállán ee. « Johttisámimáhttofágas ja earenoamážit meahccekurssain leat mis skuvlla dáfus hui unnán vásáhusat maid nala sáhttá hukset viidáseappot .
Vi må derfor regne med at det vil gå noen år før vi har funnet fram til det mest hensiktsmessige opplegg .	Danne fertet rehkenastit moadde jagi dasa ahte gávdnat vuohkkaseamos oahpahusvugiid .
I mellomtiden bør ikke kurset være bundet til bestemte kurssteder eller bestemte arbeidsformer .	Dan botta ii berre kurssa čatnat dihto báikkiide dehe dihto bargovugiide .
En må prøve seg fram – med omtanke – og i samarbeid med flyttsamer og andre sakkyndige . »	Ferte geahččaladdat – fuolalašvuođain – ovttasráđiid johttisápmelaččaiguin ja eará áššedovdiiguin . »
Et av de største problemene ved innføring av reindriftsfag var å skaffe lærerkrefter som kunne ta undervisningen på skolen og dessuten lede fjellkursene .	Okta dain stuorámus hástalusain go álggaheimmet boazodoallofága lei gávdnat oahpahannávccaid mat sáhtte oahpahit skuvllas ja maiddái lágidit meahccekurssaid .
I mangel av noen bedre måtte undertegnede påta seg dette .	Go ii lean buoret , de fertii vuolláičálli váldit badjelasas dan barggu .
Oppgavene har vært interessante og lærerike , men på grunn av de uløste oppgaver hele den linjedelte ungdomsskolen sto overfor , har det alltid blitt for liten tid til overs for arbeidet med denne spesielle linje .	Barggut leat leamaš miellagiddevaččat ja ollu lea oahppan das , muhto go olles dan suorgejuhkkojuvvon nuoraidskuvllas ledje barggut mat eai lean čovdojuvvon , de lea álo leamaš beare unnán liigeáigi bargat dainna earenoamáš surggiin .
I 1960 fikk skolens lærerstab en verdifull tilvekst ved lærerinne Kirsten Ravna Porsanger som er av flyttsameslekt og er oppvokset i reindriftsmiljøet .	1960:s oaččui skuvlla oahpaheaddjijoavku divrras veahki oahpaheaddjis Kirsten Ravna Porsangeris , gii lea johttisámisogas ja bajásšaddan boazodoallobirrasis .
Vi har delt undervisningen i flyttsamekunnskap mellom oss og har ledet hvert vårt fjellkurs , hun med 9. klasse på Østfjellet og undertegnede med 8. klasse på Vestfjellet .	Moai letne juogadan oahpahusa johttisámemáhtus ja letne goabbat meahccekurssaid lágidan , son 9. luohká nuorttabealde ja mun 8. luohká oarjjabealde . Muđui letne váldán vehkkeoahpaheddjiid oahpahussii maid sii máhtte bures .
Ellers har vi trukket inn i undervisningen hjelpelærere som var flinke til å undervise på sine områder .	
Nevnes bør særskilt : Dyrlege Sven Skjenneberg , beitekonsulent Erling Lyftingmo , kaptein Knut Spilling , idrettskonsulent Odd Hagen , flyttsamene Elen Marie Anti og Anders Bær jr. .	Dás ferte earenoamážit namuhit šibitdoaktára Sven Skjenneberg , guohtunoaivadeaddji Erling Lyftingmo , kapteainna Knut Spilling , valáštallanbagadalli Odd Haugen , johttisápmelaččaid Ellen Marie Anti ja Anders Bær jr. .
Ellers har vi benyttet en rekke andre flyttsamer som rådgivere og hjelpelærere .	Muđui leat geavahan eará johttisápmelaččaid ráđđeaddin ja veahkkeoahpaheaddjin .
Under fjellkursene benytter vi flyttsamer fra de respektive beiteområder .	Meahccekurssaid áiggi ávkkástallat johttisápmelaččaid mat gullet daidda orohagaide gos ain leat .
Et meget følbart problem i reindriftsundervisningen har vært mangelen på lærebøker .	Váttisvuohta maid leat dovdan bures , lea go váilot oahppogirjjit .
En har plukket stoff av fagskrifter , pressen , håndbøker og private notater .	Leat čoakkašan fáttáid fágačállosiin , áviissain , giehtagirjjiin ja priváhta čállosiin .
Men sjelden har en funnet noe som var skreddersydd til vårt bruk .	Hui hárve leat gávdnan maidege mii leat juste heivehuvvon min atnui .
Landslaget for tamrein ved Ingvald Brudeli har gjort en meget prisverdig innsats på opplysningssektoren ved å utgi boka Norsk Tamreindrift og tidsskriftet Fjell-Nytt .	Landslaget for tamrein ( Boazoriikkasearvi ) lea Ingvald Brudeli bokte dahkan buori barggu bajásčuvgehussuorggis go leat almmuhan girjji Norsk tamreindrift ja áigečállaga Fjell-Nytt .
Ved siden av Reindriftsbladet som utgis av Norges Reindriftsamers Landsforening , kan disse gi oss verdifullt stoff til undervisningen .	Earret Reindriftsbladet ( Boazodoallobláđđi ) nammasaš áigečállaga man Norgga Boazosápmelaččaid Riikkasearvi almmuha , de addet namuhuvvon čállagat mávssolaš oahpponeavvuid oahpahussii .
Svenska Renforskningens skrifter har også vært gode håndbøker for lærerne .	Svenska Renforskningena ( Ruoŧa boazodutkan ) čállosat leat leamaš buorit veahkkeneavvut oahpaheddjiide .
Beitekonsulent Lyftingsmo har skrevet en kort og grei beitelære for reindriftslinjen , og dyrlege Skjenneberg er på det nærmeste ferdig med manuskriptet til sin lærebok om Rein og reindrift ( ca. 200 sider pluss billeder ) .	Guohtunoaivadeaddji Lyftingsmo lea čállán oanehis ja álkis guohtunoahppogirjjáža boazodoallosuorgái , ja šibitdoavttir Skjenneberg lea measta geargan giehtačállosiin Rein og reindrift nammasaš oahppogirjjiin ( sullii 200 siiddu ja govat ) .
Disse tiltak betyr verdifulle skritt fram mot løsningen av lærebok-problemet .	Dát barggut mearkkašit ollu go galget čoavdit oahppogirjevátnivuođa váttisvuođaid .
Etter konferanse med landbrukssjef Bartholdsen og undertegnede har Sven Skjenneberg også utarbeidet en plan for et 3 måneders spesialkurs for lærere på reindriftslinja .	Maŋŋel konferánssa eanandoallohoavddain Bartholdseniin ja vuolláičálliin lea Sven Skjenneberga ráhkadan plána golmma mánnosaš erenoamáškursii boazodoallosuorggi oahpaheddjiide .
Det er grunn til å vente seg meget av dette .	Das gal sáhttá ollu vuordit .
Hvis de skoler som tenker å sette i gang reindriftsundervisning , sender lærere til kurset , vil det kunne få betydning for reindriftsnæringen i hele landet .	Jus dat skuvllat mat áigot álggahit boazodoallooahpahusa sáddejit oahpaheddjiid dákkár kursii , de dat váikkuhivččii boazodoaloealáhussii oba riikkas .
Det er visstnok tanken å legge dette kurs til en landbruksskole .	Lea várra jurdda dán kurssa bidjat soames eanandoalloskuvlii .
I denne sammenheng melder spørsmålet seg om et skolested for videre opplæring i reindriftsfag , altså en overbygging for reindriftslinjene ved linjedelte ungdomsskoler , slik at ungdom som ønsker det , kan få et 10. frivillig skoleår der .	Dasto čuožžila gažaldat skuvlabáikkis boazodoallosuorggi joatkkaoahpus , nappo dakkár mii hukse boazodoallosuorggi nala mii lea suorgejuhkkojuvvon nuoraidskuvllas .  Dasto besset sii geat háliidit , eaktodáhtolaččat vázzit 10. luohká doppe .
Heimeyrkeskolen for samer i Kautokeino utpeker seg her som det naturlige sted , forutsatt at lærerkrefter for denne undervisning kan skaffes .	
Selv om reindriftsfaget nå er etablert i den linjedelte ungdomsskolen , er dermed ikke problemene løst .	Ruovttufidnoskuvla sámiide Guovdageainnus lea lunddolaš báiki dasa , jus fal oahpahannávccaid sáhttá oažžut .
Det må stadig foregå en vekst fram mot mer hensiktsmessige og dagsaktuelle former for undervisning .	Vaikko boazodoallosuorgi leage sajáiduvvan suorgejuhkkojuvvon nuoraidskuvlii , de ii leat čoavdán buot váttisvuođaid .
	Ferte čađat leat ovdáneapmi ávkkálaš ja áigeguovdilis oahpahanmálliin .
Det oppstår også organisatoriske problemer .	Gártet maid organiseremis váttisvuođat .
Faget flyttsamekunnskap har hittil tatt engelskens plass på fagfordelingsplanen .	Boazodoallofága lea dán rádjái váldán eŋgelasgiela saji fágajuohkinplánas .
I fjor ble imidlertid engelsk innført i 6. klasse i flyttsameskolen , og da bør elevene få fortsette med dette på reindriftslinja .	Diibmá álggahuvvui eŋgelasgiella 6. luohkkái johttisámeskuvllas , ja de berrejit oahppit beassat joatkit dainna maiddái boazodoallosuorggis .
Dette skoleår har flyttsamekunnskap i 7. klasse måttet avgi 2 av sine 3 uketimer til engelsk .	Dán oahppojagi leat johttisámeoahpus váldán guokte diimmu golmma diimmus vahkkui eŋgelasgillii .
Vi har løst problemet på den måten at flyttsamekunnskap ( 1 t. ) er lagt under samme lærer som har biologi ( 2 t. ) og geografi ( 2 t. ) i klassen .	Mii leat dán rádjái čoavdan dan dainna lágiin ahte leat bidjan johttisámemáhtu ( 1 diimmu ) seamma oahpaheaddjái go das geas lea biologiija ( 2 diimmu ) ja geografiija ( 2 diimmu ) luohkás .
Ved samkjøring av lærestoff fra botanikk og zoologi samt geografi med etnografi , håper vi likevel å få gjennomført det meste av 7. klasses pensum i flyttsamekunnskap .	Go ovttas oahpaha botanihka ja zoologiija ja maiddái geografiija ovttas etnografiijain , de sávvat ahte dainna lágiin čađahuvvo eanas oassi 7. luohká johttisámemáhtu lohkanmearis .
Vi må nå finne frem til en løsning for de elever som vil lese engelsk i 8. klasse på reindriftslinja neste år og eventuelt senere i 9. klasse .	Dál fertet gávdnat lohkamuša daidda ohppiide 8. luohkás geat háliidit boahtte jagi lohkat eŋgelasgiela boazodoallosuorggis , ja maŋŋel 9. luohkás .
Fagtrengselens spøkelse brer seg nå også over reindriftslinja !	Fágagáržžádusa ballu lea čuohcan maiddái boazodoallosuorgái !
For det enkelte årskull kan det være så få flyttsamebarn i Karasjok at det ikke blir nok elever til egen reindriftslinje .	Muhtin jagiid sáhttet leat nu unnán johttisámemánát Kárášjogas ahte eai deavdde olles luohká boazodoallosuorggis .
De som vil ha yrkesforberedende opplæring i 9. klasse , må kunne få en egen gren for reindrift .	Sii geat háliidit fidnoráhkkanan oahpahusa 9. luohkás , galget sáhttit oažžut sierra suorggi boazodoalus .
Men hva med reindriftsfaget for disse i 7. og 8. klasse ?	Muhto movt lea boazodoallofágain dáin ohppiin 7. ja 8. luohkáin ?
Og hva med den praktiske trening hos foreldrene eller på fjellkurs når elevene skal være på skolebenken fra august til juni ?	Ja movt šaddá dainna praktihkalaš hárjehallamiin váhnemiid luhtte dehe meahccekurssas go oahppit galget leat skuvllas borgemánus geassemánnui ?
Om de interesserte parter viser den samme forståelse og velvilje som hittil , skulle det tross alt være mulig å finne frem til brukbare løsninger .	Jus berošteaddji bealit čájehit seamma beroštumi ja buorredáhtu go dán rádjai leat dahkan , de livččii ain vejolaš gávdnat heivvolaš čovdosiid .
En bør ikke vike tilbake for særordninger som har livets rett , selv om de betyr en belastning for skolens administrasjon .	Ii berre hilgut sierra ortnegiid mat leat seailluhanveara , vaikko dát čuhcet skuvlla hálddašeapmái .
Det er naturlig å følge forbindelseslinjene for faget flyttsamekunnskap også nedover i skolen .	Lea maid lunddolaš čuovvut oktavuođalinnjáid vulosguvlui skuvllas johttisámeoahpu fágas .
En tenker da på heimstadlæren og orienteringsfagene i barneskolen .	Dás jurddaša ruovttudoallooahpu ja o-fága ( luonddufágaid ja servodatfágaid ) birra mánáidskuvllas .
Her har Sveriges nomadskolor solide tradisjoner som vi kan øse av .	Ruoŧa sámeskuvllain leat das nana árbevierut maid mii sáhttit ávkkástallat .
Flyttsameskolen bør ha sin egen læreplan i heimstadlære ( l. – 3. klasse ) .	Johttisámeskuvllas berre leat sierra oahppoplána ruovttudoallooahpus ( 1.–3. luohkás ) .
I likhet med heimstadlæren i andre skoler skal den med heimen som sentrum gjøre barna bedre kjent med livet omkring dem , lære dem visse arbeidsformer og legge grunnlaget for den senere opplæring i orienteringsfagene .	Nu go eará ruovttudoallooahpuin eará skuvllain galgá dát fága , mas ruoktu lea guovddážin , oahpasnuhttit mánáid iežaset lagasbirrasii , oahpahit sidjiide dihto bargovugiid ja dahkat vuođu maŋitáiggiid servodat- ja birasoahpu oahpahussii .
For flyttsameskolen må følgelig heimstadlæren hente mye av sitt stoff fra samenes liv , deres arbeid , redskaper og omgivelser , fra dyreliv og vekstliv i fjellet .	Johttisámeskuvla ferte ruovttudoalloohppui viežžat dieđuid sámiid eallimis , sin bargguin , biergasiin dehe reaidduin ja birrasis , elliin ja šattuin meahcis .
Et forslag til læreplan i heimstadlære for flyttsameskolen ble utarbeidet av undertegnede for noen år siden og prøvet i småskolen .	Vuolláičálli lea moadde jagi áigi čállán evttohusa johttisámeskuvlla ruovttudoallooahpa oahppoplánii , mii lea geahččaluvvon smávvaskuvllas .
Saken ble dessverre skjøvet til side for mer påtrengende oppgaver på ungdomsskoletrinnet .	Dát ášši šattai dađibahábut duvdiluvvot eret losit bargguid geažil nuoraidskuvlladásis .
For orienteringsfagene i 4.–6. klasse ( geografi , historie , samfunnskunnskap og naturfag ) bør det også være adgang til mindre avvik i lærestoffet , slik at det kan bli utvidet heimstadlære eller « nomadkunnskap » som det kalles i Sverige .	Servodat- ja birasoahpu 4.-6. luohkáide ( geografiija , historjá , servodatoahppu ja luonddufága ) berre sáhttit rievdadit veahá , nu ahte sáhttá šaddat viidát ruovttudoallooahppu , dehe « nomádaoahppu » , manin Ruoŧas dat gohčoduvvo .
Det kan enten skje ved at en legger særlig vekt på det som er aktuelt for elevenes eget miljø eller ved at det avgis l time pr. uke til « samekunnskap » som orienteringsfag med bl. a. kulturhistorisk stoff .	Dan sáhttá dahkat jogo nu ahte earenoamážit deattuha dan mii lea oahppi lagasbirrasis dehege várrejuvvo juohke vahkku okta diibmu « sámiohppui » mii lea servodat- ja birasoahppu , mas ee. lea kulturhistorjjálaš fáddá .
Svenskenes plan i nomadkunnskap gir gode holdepunkter .	Ruoŧŧelaččaid plánas « nomadkunnskapas » ( johttisámemáhtus ) leat buorit dovdomearkkat dasa .
Det er grunn til å understreke at reindriftsfaget ikke står isolert i skolen og stjeler tid fra den ordinære fagkrets .	Ferte deattuhit ahte boazodoallofága ii leat áibbas sierra skuvllas ja suoláda áiggi dábálaš fágain .
Vesentlige biprodukter av det yrkesmerkte fag kommer de andre fag til gode .	Dehálaš liigeoasit dán fidnomerkejuvvon fágas bohtet buorrin eará fágaide .
Det brukes mye arbeidsbok i faget , og elevene får stadig arbeidsoppgaver som de skal løse .	Adnojit ollu bargogirjjit dán fágas , ja oahppit ožžot dávjá bargobihtáid maid galget čoavdit .
De må bruke faglitteratur .	Sii fertejit atnit fágagirjjálašvuođa .
Dette kommer faget norsk til gode .	Dát boahtá ávkin dárogielfágii .
Tilskuddet blir ikke mindre av at det stadig leses om og skrives om ting som elevene er interessert i og har kontakt med i heimelivet .	Lassioahppu ii šatta unnit go duos dás ain lohkat ja čállit daid áššiid birra main oahppit beroštit ja main lea oktavuohta sin ruovttuide .
Den grundige behandling av reinsdyret , reinsykdommer og parasitter gir vesentlige tilskudd til kunnskapene i biologi og fysiologi .	Vuđolaš oahpahus bohcco , boazodávddaid ja luhtehiid birra , lasiha máhtuid biologiijas ja fysiologiijas .
Ernæringslæren og slaktelæren kommer faget heimkunnskap til gode .	Biebmooahppu ja njuovvanoahppu boahtá buorrin ruovttudoalloohppui .
Geografifaget får tilskudd fra flyttsamekunnskap på alle klassetrinn og fra fjellkursene .	Geografiija fága oažžu lasáhusaid johttisámeoahpus buot luohkkádásiin ja meahccekurssain .
Kursene dekker også visse emner i kroppsøving .	Kurssat maid gokčet osiid lášmmohallanfágas .
Fagene regning , historie , samfunnskunnskap og tegning får også sin del gjennom de mange emner og aktiviteter reindriftsfaget spenner over .	Fágat rehkenastin , historjá , servodatoahppu ja sárgun ožžot maid gokčojuvvot osiid daid ollu fáttáid ja doaimmaid bokte mat leat boazodoallofágas .
Dette yrkesmerkte fag kan derfor i høy grad også sies å være allmenndannende med elevens egen heimekultur som utgangspunkt .	Sáhttá roahkka lohkat ahte dát fidnomerkejuvvvon fága dahká ohppiid buotbeallásažžan mas vuolggasadji lea sin ruoktokultuvra .
Ellen Marie Anti var reindriftssame og deltok som lærer i reindriftslinjas fjellkurs .	Ellen Marie Anti lei badjeolmmoš ja searvvai boazodoallosuorggi meahccekursii oahpaheaddjin .
Her fyrer hun opp bålet i lavvoen .	Dá son dahká dola árranii .
I bakgrunnen Kirsten Anne Turi .	Duogážis Kirsten Anne Turi .
Bildet er tatt nær Indre Billefjord i Porsanger , 1959 .	Gorbovuona lahka , Porsáŋggus , 1959 .
( Foto : Virginia Davidson / Norsk folkemuseum )	( Govva : Virginia Davidson / Norsk folkemuseum )
I hvilken utstrekning reindriftsfaget indirekte styrker de andre fag er det umulig å si med sikkerhet .	Lea veadjemeahttun dadjat juste man muddui boazodoallofága doarju daid iežá fágaid eahpenjuolgadit .
Det bør kanskje nevnes at reindriftslinja ved årsprøver og avgangseksamen får de samme oppgaver som allmenn praktisk linje .	Dás soaitá fertet namuhit ahte jahkegeahččalemiin ja loahpalaš eksámenis ožžot seamma bargobihtáid go dábálaš praktihkalaš suorggis .
Gjennomsnittsresultatene har hittil ligget på omtrent samme nivå for begge linjer , selv om R-linjen har 11 uker kortere skoletid pr. år .	Gaskamearálaš bohtosat leat sullii seamma dásis goappašat luohkáin , vaikko R-suorggis leat 11 vahkku oanehit skuvlaáigi jahkái .
Flere forhold kan her spille inn , bl. a. at R-linjen har færre elever i klassene , men ett og annet tyder på at de gjennom reindriftsfaget har fått et visst praktisk grep når det gjelder å bruke skolekunnskapene .	Dása sáhttet leat ollu sivat , omd. ahte R-suorggis eai leat nu ollu oahppit , muhto juoga goitge čájeha dan ahte sii leat boazodoallofága čađa ožžon vissis praktihkalaš máhtu atnit skuvladáidduideaset .
En kan med noen rett bruke utrykket : « Spesialutdanning er den beste allmenndanning . »	Lea goit veahá riekta dadjat « erenoamáš oahppu dahká buoremusat ohppiid buotbeallásažžan . »
Som en konklusjon på denne utgreiing kan vel sies at en del er gjort for reindriftsundervisnmgen .	Loahppacealkámuššan dán čállosis sáhttá lohkat ahte oassi lea juo dahkkon boazodoallooahpahussii .
Mye står igjen , men en del av det ugjorte er innen synsvidde .	Ain váilu ollu , muhto das gal lea oassi olámuttos .
I en travel oppbyggingstid for skolen kunne det være fristende å skyve denne oppgaven fra seg og vente på at bedre kvalifiserte folk skulle gjøre grunnarbeidet .	Huksenáigodagas , go lea álo hoahppu , de livččii álki duvdilit dán barggu eret ja vuordit dassážii go bohtet eanet oahppan olbmot geat barggaše vuođđobargguid .
Noen måtte imidlertid gjøre begynnelsen – og dumme seg som amatører ofte gjør .	Muhtin fertii goitge álggu dahkat – ja čurbošit nu go aiddoálgit dávjá dahket .
Så får korrektivene komme etter hvert .	De fertejit njulgehusat boahtit dađistaga .
Landbruksundervisningen trengte også en modningstid og gjennomgår visst ennå forbedringer .	Eanandoallooahpahus dárbbašii maid láddanáiggi ja dan leat várra ain buorideame .
Det vil være for mye å vente at den grunnundervisning som er gitt i den linjedelte ungdomsskolen , skal gi praktiske resultater i reindriften med en gang .	Livččii beare ollu vuordit ahte dat vuođđooahpahus mii lea addon suorgejuhkkojuvvon nuoraidskuvllas , addá dakkaviđe bohtosiid duohtadilis boazodoalus .
Kimene til mer rasjonelle tenkemåter er imidlertid lagt og vil forhåpentlig slå ut i praktisk handling når disse elever er modne menn og kvinner med innflytelse i sine reinbyer .	Gálggat / čuolmmat jurddašit ulbmillaččat leat goitge biddjojuvvon , ja sávvamis dát bohtet oidnosii duohtadili daguin go dát nuorat leat rávisolbmot ja váikkuhišgohtet iežaset siiddain .
En utvikling som ikke lar seg stanse er begynt .	Ovdáneapmi man ii šat sáhte bissehit lea álggahuvvon .
Det er all grunn til å tro at den kommende generasjon av flyttsamer vil finne nye og mer lønnsomme former i sine fedres tradisjonsrike næring .	Lea ágga jáhkkit ahte boahtte buolva johttisápmelaččat gávdnet ođđa ja eanet gánnáhahtti vugiid sin áhčiid rikkis árbevirolaš ealáhusas .
Andre artikler i Samisk skolehistorie 2	Eará artihkkalat girjjis Sámi skuvlahistorjá 2
